ShipmentNumber,EventSequenceNumber,StatusCode,StatusDescription,EventDateTime,LocationCode,ScanType,EventSource,ExceptionCode,Notes
SHP0000239,7,DELIVERED,Shipment delivered to customer.,2025-07-10 08:15:56,DAL_DC,Delivery,Handheld,,
SHP0000240,1,CREATED,Shipment created in transportation management system.,2025-07-20 11:40:00,TUS_HUB,System,TMS,,
SHP0000240,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-07-20 12:40:00,TUS_HUB,System,TMS,,
SHP0000240,3,PICKED_UP,Shipment picked up from origin facility.,2025-07-20 23:27:15,TUS_HUB,Scan,Handheld,,
SHP0000240,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-07-21 01:34:23,TUS_HUB,Scan,Handheld,,
SHP0000240,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-07-20 17:32:00,PHX_DC,Scan,EDI,,
SHP0000240,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-07-20 23:27:37,PHX_DC,Scan,Handheld,,
SHP0000240,7,DELIVERED,Shipment delivered to customer.,2025-07-21 01:48:57,PHX_DC,Delivery,Handheld,,
SHP0000241,1,CREATED,Shipment created in transportation management system.,2025-06-14 23:09:00,SEA_DC,System,TMS,,
SHP0000241,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-06-15 00:09:00,SEA_DC,System,TMS,,
SHP0000241,3,PICKED_UP,Shipment picked up from origin facility.,2025-06-15 08:39:03,SEA_DC,Scan,Handheld,,
SHP0000241,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-06-15 11:28:08,SEA_DC,Scan,Handheld,,
SHP0000241,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-06-15 08:20:35,PDX_DEP,Scan,EDI,,
SHP0000241,6,DAMAGE_REPORTED,Shipment flagged for damage inspection.,2025-06-15 04:28:51,SEA_DC,Alert,CarrierEDI,DAMG,Shipment flagged for damage inspection.
SHP0000241,7,RESOLVED,Shipment exception resolved.,2025-06-15 18:21:20,PDX_DEP,System,TMS,DAMG,Exception closed and shipment released.
SHP0000241,8,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-06-15 20:07:20,PDX_DEP,Scan,Handheld,,
SHP0000241,9,DELIVERED,Shipment delivered to customer.,2025-06-15 21:59:58,PDX_DEP,Delivery,Handheld,,
SHP0000242,1,CREATED,Shipment created in transportation management system.,2025-04-07 17:30:00,ATL_HUB,System,TMS,,
SHP0000242,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-04-07 18:30:00,ATL_HUB,System,TMS,,
SHP0000242,3,PICKED_UP,Shipment picked up from origin facility.,2025-04-08 02:14:57,ATL_HUB,Scan,Handheld,,
SHP0000242,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-04-08 04:20:18,ATL_HUB,Scan,Handheld,,
SHP0000242,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-04-08 10:49:46,MIA_DC,Scan,EDI,,
SHP0000242,6,DAMAGE_REPORTED,Shipment flagged for damage inspection.,2025-04-08 03:49:53,ATL_HUB,Alert,CarrierEDI,DAMG,Shipment flagged for damage inspection.
SHP0000242,7,RESOLVED,Shipment exception resolved.,2025-04-10 09:35:43,MIA_DC,System,TMS,DAMG,Exception closed and shipment released.
SHP0000242,8,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-04-10 11:27:03,MIA_DC,Scan,Handheld,,
SHP0000242,9,DELIVERED,Shipment delivered to customer.,2025-04-10 13:15:53,MIA_DC,Delivery,Handheld,,
SHP0000243,1,CREATED,Shipment created in transportation management system.,2025-06-08 09:00:00,PHX_DC,System,TMS,,
SHP0000243,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-06-08 10:00:00,PHX_DC,System,TMS,,
SHP0000243,3,PICKED_UP,Shipment picked up from origin facility.,2025-06-08 18:06:09,PHX_DC,Scan,Handheld,,
SHP0000243,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-06-08 19:35:17,PHX_DC,Scan,Handheld,,
SHP0000243,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-06-08 19:31:27,LAS_HUB,Scan,EDI,,
SHP0000243,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-06-09 02:01:00,LAS_HUB,Scan,Handheld,,
SHP0000243,7,DELIVERED,Shipment delivered to customer.,2025-06-09 04:07:46,LAS_HUB,Delivery,Handheld,,
SHP0000244,1,CREATED,Shipment created in transportation management system.,2025-06-12 11:51:00,PHX_DC,System,TMS,,
SHP0000244,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-06-12 12:51:00,PHX_DC,System,TMS,,
SHP0000244,3,PICKED_UP,Shipment picked up from origin facility.,2025-06-13 04:52:25,PHX_DC,Scan,Handheld,,
SHP0000244,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-06-13 07:21:53,PHX_DC,Scan,Handheld,,
SHP0000244,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-06-13 06:35:57,ABQ_HUB,Scan,EDI,,
SHP0000244,6,DAMAGE_REPORTED,Shipment flagged for damage inspection.,2025-06-13 06:29:52,PHX_DC,Alert,CarrierEDI,DAMG,Shipment flagged for damage inspection.
SHP0000244,7,RESOLVED,Shipment exception resolved.,2025-06-14 16:35:30,ABQ_HUB,System,TMS,DAMG,Exception closed and shipment released.
SHP0000244,8,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-06-14 16:42:58,ABQ_HUB,Scan,Handheld,,
SHP0000244,9,DELIVERED,Shipment delivered to customer.,2025-06-14 20:10:04,ABQ_HUB,Delivery,Handheld,,
SHP0000245,1,CREATED,Shipment created in transportation management system.,2025-08-13 12:39:00,DAL_DC,System,TMS,,
SHP0000245,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-08-13 13:39:00,DAL_DC,System,TMS,,
SHP0000245,3,PICKED_UP,Shipment picked up from origin facility.,2025-08-14 03:21:41,DAL_DC,Scan,Handheld,,
SHP0000245,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-08-14 05:50:36,DAL_DC,Scan,Handheld,,
SHP0000245,5,MISSED_SCAN_ALERT,Expected scan was not captured on time.,2025-08-14 10:49:23,DEN_DC,Alert,CarrierEDI,MSCN,Expected scan was not captured on time.
SHP0000245,6,RESOLVED,Shipment exception resolved.,2025-08-14 19:41:03,DEN_DC,System,TMS,MSCN,Exception closed and shipment released.
SHP0000245,7,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-08-14 19:59:30,DEN_DC,Scan,Handheld,,
SHP0000245,8,DELIVERED,Shipment delivered to customer.,2025-08-15 00:42:10,DEN_DC,Delivery,Handheld,,
SHP0000246,1,CREATED,Shipment created in transportation management system.,2025-03-27 06:15:00,CHI_DC,System,TMS,,
SHP0000246,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-03-27 07:15:00,CHI_DC,System,TMS,,
SHP0000246,3,PICKED_UP,Shipment picked up from origin facility.,2025-03-27 12:31:47,CHI_DC,Scan,Handheld,,
SHP0000246,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-03-27 13:57:59,CHI_DC,Scan,Handheld,,
SHP0000246,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-03-27 23:33:57,ATL_HUB,Scan,EDI,,
SHP0000246,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-03-28 09:53:40,ATL_HUB,Scan,Handheld,,
SHP0000246,7,DELIVERED,Shipment delivered to customer.,2025-03-28 12:43:19,ATL_HUB,Delivery,Handheld,,
SHP0000247,1,CREATED,Shipment created in transportation management system.,2025-07-19 04:43:00,DEN_DC,System,TMS,,
SHP0000247,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-07-19 05:43:00,DEN_DC,System,TMS,,
SHP0000247,3,PICKED_UP,Shipment picked up from origin facility.,2025-07-19 17:57:38,DEN_DC,Scan,Handheld,,
SHP0000247,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-07-19 18:49:48,DEN_DC,Scan,Handheld,,
SHP0000247,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-07-19 21:54:04,OMA_HUB,Scan,EDI,,
SHP0000247,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-07-20 04:05:29,OMA_HUB,Scan,Handheld,,
SHP0000247,7,DELIVERED,Shipment delivered to customer.,2025-07-20 05:37:29,OMA_HUB,Delivery,Handheld,,
SHP0000248,1,CREATED,Shipment created in transportation management system.,2025-08-29 14:02:00,KC_DEP,System,TMS,,
SHP0000248,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-08-29 15:02:00,KC_DEP,System,TMS,,
SHP0000248,3,PICKED_UP,Shipment picked up from origin facility.,2025-08-29 21:37:43,KC_DEP,Scan,Handheld,,
SHP0000248,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-08-29 22:47:53,KC_DEP,Scan,Handheld,,
SHP0000248,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-08-30 04:58:28,CHI_DC,Scan,EDI,,
SHP0000248,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-08-30 06:37:45,CHI_DC,Scan,Handheld,,
SHP0000248,7,DELIVERED,Shipment delivered to customer.,2025-08-30 09:57:40,CHI_DC,Delivery,Handheld,,
SHP0000249,1,CREATED,Shipment created in transportation management system.,2025-07-13 00:06:00,OMA_HUB,System,TMS,,
SHP0000249,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-07-13 01:06:00,OMA_HUB,System,TMS,,
SHP0000249,3,PICKED_UP,Shipment picked up from origin facility.,2025-07-13 08:34:01,OMA_HUB,Scan,Handheld,,
SHP0000249,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-07-13 11:19:13,OMA_HUB,Scan,Handheld,,
SHP0000249,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-07-13 09:35:10,CHI_DC,Scan,EDI,,
SHP0000249,6,DAMAGE_REPORTED,Shipment flagged for damage inspection.,2025-07-13 14:16:38,OMA_HUB,Alert,CarrierEDI,DAMG,Shipment flagged for damage inspection.
SHP0000249,7,RESOLVED,Shipment exception resolved.,2025-07-14 20:07:30,CHI_DC,System,TMS,DAMG,Exception closed and shipment released.
SHP0000249,8,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-07-14 21:03:23,CHI_DC,Scan,Handheld,,
SHP0000249,9,DELIVERED,Shipment delivered to customer.,2025-07-14 23:40:37,CHI_DC,Delivery,Handheld,,
SHP0000250,1,CREATED,Shipment created in transportation management system.,2025-08-28 10:21:00,LAS_HUB,System,TMS,,
SHP0000250,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-08-28 11:21:00,LAS_HUB,System,TMS,,
SHP0000250,3,PICKED_UP,Shipment picked up from origin facility.,2025-08-28 16:45:39,LAS_HUB,Scan,Handheld,,
SHP0000250,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-08-28 18:43:51,LAS_HUB,Scan,Handheld,,
SHP0000250,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-08-28 23:40:53,DEN_DC,Scan,EDI,,
SHP0000250,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-08-29 02:49:39,DEN_DC,Scan,Handheld,,
SHP0000250,7,DELIVERED,Shipment delivered to customer.,2025-08-29 04:52:54,DEN_DC,Delivery,Handheld,,
SHP0000251,1,CREATED,Shipment created in transportation management system.,2025-02-20 12:49:00,SEA_DC,System,TMS,,
SHP0000251,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-02-20 13:49:00,SEA_DC,System,TMS,,
SHP0000251,3,PICKED_UP,Shipment picked up from origin facility.,2025-02-20 23:48:35,SEA_DC,Scan,Handheld,,
SHP0000251,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-02-21 00:58:27,SEA_DC,Scan,Handheld,,
SHP0000251,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-02-20 16:31:28,PDX_DEP,Scan,EDI,,
SHP0000251,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-02-21 00:00:23,PDX_DEP,Scan,Handheld,,
SHP0000251,7,DELIVERED,Shipment delivered to customer.,2025-02-21 02:05:19,PDX_DEP,Delivery,Handheld,,
SHP0000252,1,CREATED,Shipment created in transportation management system.,2025-05-31 23:56:00,PHX_DC,System,TMS,,
SHP0000252,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-06-01 00:56:00,PHX_DC,System,TMS,,
SHP0000252,3,PICKED_UP,Shipment picked up from origin facility.,2025-06-01 12:09:40,PHX_DC,Scan,Handheld,,
SHP0000252,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-06-01 14:16:26,PHX_DC,Scan,Handheld,,
SHP0000252,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-06-01 09:22:11,LAX_DC,Scan,EDI,,
SHP0000252,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-06-01 13:11:46,LAX_DC,Scan,Handheld,,
SHP0000252,7,DELIVERED,Shipment delivered to customer.,2025-06-01 17:04:53,LAX_DC,Delivery,Handheld,,
SHP0000253,1,CREATED,Shipment created in transportation management system.,2025-01-30 04:28:00,SLC_HUB,System,TMS,,
SHP0000253,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-01-30 05:28:00,SLC_HUB,System,TMS,,
SHP0000253,3,PICKED_UP,Shipment picked up from origin facility.,2025-01-30 18:38:13,SLC_HUB,Scan,Handheld,,
SHP0000253,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-01-30 21:06:26,SLC_HUB,Scan,Handheld,,
SHP0000253,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-01-31 03:38:46,DEN_DC,Scan,EDI,,
SHP0000253,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-01-31 05:24:30,DEN_DC,Scan,Handheld,,
SHP0000253,7,DELIVERED,Shipment delivered to customer.,2025-01-31 07:59:16,DEN_DC,Delivery,Handheld,,
SHP0000254,1,CREATED,Shipment created in transportation management system.,2025-03-16 02:23:00,CHI_DC,System,TMS,,
SHP0000254,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-03-16 03:23:00,CHI_DC,System,TMS,,
SHP0000254,3,PICKED_UP,Shipment picked up from origin facility.,2025-03-16 17:46:07,CHI_DC,Scan,Handheld,,
SHP0000254,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-03-16 20:08:21,CHI_DC,Scan,Handheld,,
SHP0000254,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-03-17 07:48:39,DEN_DC,Scan,EDI,,
SHP0000254,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-03-17 08:38:30,DEN_DC,Scan,Handheld,,
SHP0000254,7,DELIVERED,Shipment delivered to customer.,2025-03-17 13:53:54,DEN_DC,Delivery,Handheld,,
SHP0000255,1,CREATED,Shipment created in transportation management system.,2025-08-22 18:35:00,HOU_HUB,System,TMS,,
SHP0000255,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-08-22 19:35:00,HOU_HUB,System,TMS,,
SHP0000255,3,PICKED_UP,Shipment picked up from origin facility.,2025-08-23 11:16:33,HOU_HUB,Scan,Handheld,,
SHP0000255,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-08-23 12:40:51,HOU_HUB,Scan,Handheld,,
SHP0000255,5,MISSED_SCAN_ALERT,Expected scan was not captured on time.,2025-08-23 20:56:54,ATL_HUB,Alert,CarrierEDI,MSCN,Expected scan was not captured on time.
SHP0000255,6,EXCEPTION_OPEN,Shipment is pending exception resolution.,2025-09-30 20:00:00,ATL_HUB,System,TMS,MSCN,Customer-impacting exception remains open.
SHP0000256,1,CREATED,Shipment created in transportation management system.,2025-01-21 02:38:00,LAX_DC,System,TMS,,
SHP0000256,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-01-21 03:38:00,LAX_DC,System,TMS,,
SHP0000256,3,PICKED_UP,Shipment picked up from origin facility.,2025-01-21 16:50:40,LAX_DC,Scan,Handheld,,
SHP0000256,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-01-21 18:36:55,LAX_DC,Scan,Handheld,,
SHP0000256,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-01-21 11:53:36,SAN_DEP,Scan,EDI,,
SHP0000256,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-01-21 15:51:36,SAN_DEP,Scan,Handheld,,
SHP0000256,7,DELIVERED,Shipment delivered to customer.,2025-01-21 20:56:35,SAN_DEP,Delivery,Handheld,,
SHP0000257,1,CREATED,Shipment created in transportation management system.,2025-09-10 02:19:00,ATL_HUB,System,TMS,,
SHP0000257,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-09-10 03:19:00,ATL_HUB,System,TMS,,
SHP0000257,3,PICKED_UP,Shipment picked up from origin facility.,2025-09-10 18:47:56,ATL_HUB,Scan,Handheld,,
SHP0000257,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-09-10 20:24:04,ATL_HUB,Scan,Handheld,,
SHP0000257,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-09-11 00:17:05,MIA_DC,Scan,EDI,,
SHP0000257,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-09-11 03:04:53,MIA_DC,Scan,Handheld,,
SHP0000257,7,DELIVERED,Shipment delivered to customer.,2025-09-11 07:39:16,MIA_DC,Delivery,Handheld,,
SHP0000258,1,CREATED,Shipment created in transportation management system.,2025-02-24 21:30:00,DAL_DC,System,TMS,,
SHP0000258,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-02-24 22:30:00,DAL_DC,System,TMS,,
SHP0000258,3,PICKED_UP,Shipment picked up from origin facility.,2025-02-25 02:53:39,DAL_DC,Scan,Handheld,,
SHP0000258,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-02-25 03:39:08,DAL_DC,Scan,Handheld,,
SHP0000258,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-02-25 01:35:01,HOU_HUB,Scan,EDI,,
SHP0000258,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-02-25 06:40:42,HOU_HUB,Scan,Handheld,,
SHP0000258,7,DELIVERED,Shipment delivered to customer.,2025-02-25 08:13:38,HOU_HUB,Delivery,Handheld,,
SHP0000259,1,CREATED,Shipment created in transportation management system.,2025-01-03 08:14:00,ATL_HUB,System,TMS,,
SHP0000259,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-01-03 09:14:00,ATL_HUB,System,TMS,,
SHP0000259,3,PICKED_UP,Shipment picked up from origin facility.,2025-01-03 20:55:21,ATL_HUB,Scan,Handheld,,
SHP0000259,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-01-03 21:46:58,ATL_HUB,Scan,Handheld,,
SHP0000259,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-01-04 02:14:53,ORL_DEP,Scan,EDI,,
SHP0000259,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-01-04 02:06:34,ORL_DEP,Scan,Handheld,,
SHP0000259,7,DELIVERED,Shipment delivered to customer.,2025-01-04 06:13:21,ORL_DEP,Delivery,Handheld,,
SHP0000260,1,CREATED,Shipment created in transportation management system.,2025-09-01 02:18:00,PHX_DC,System,TMS,,
SHP0000260,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-09-01 03:18:00,PHX_DC,System,TMS,,
SHP0000260,3,PICKED_UP,Shipment picked up from origin facility.,2025-09-01 15:17:31,PHX_DC,Scan,Handheld,,
SHP0000260,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-09-01 18:12:58,PHX_DC,Scan,Handheld,,
SHP0000260,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-09-01 14:53:31,LAS_HUB,Scan,EDI,,
SHP0000260,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-09-01 23:44:52,LAS_HUB,Scan,Handheld,,
SHP0000260,7,DELIVERED,Shipment delivered to customer.,2025-09-02 02:41:19,LAS_HUB,Delivery,Handheld,,
SHP0000261,1,CREATED,Shipment created in transportation management system.,2025-04-28 18:51:00,PHX_DC,System,TMS,,
SHP0000261,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-04-28 19:51:00,PHX_DC,System,TMS,,
SHP0000261,3,PICKED_UP,Shipment picked up from origin facility.,2025-04-29 06:27:04,PHX_DC,Scan,Handheld,,
SHP0000261,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-04-29 08:34:42,PHX_DC,Scan,Handheld,,
SHP0000261,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-04-29 06:46:33,LAS_HUB,Scan,EDI,,
SHP0000261,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-04-29 04:40:13,LAS_HUB,Scan,Handheld,,
SHP0000261,7,DELIVERED,Shipment delivered to customer.,2025-04-29 09:05:21,LAS_HUB,Delivery,Handheld,,
SHP0000262,1,CREATED,Shipment created in transportation management system.,2025-06-26 08:18:00,DAL_DC,System,TMS,,
SHP0000262,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-06-26 09:18:00,DAL_DC,System,TMS,,
SHP0000262,3,PICKED_UP,Shipment picked up from origin facility.,2025-06-27 02:28:10,DAL_DC,Scan,Handheld,,
SHP0000262,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-06-27 04:19:39,DAL_DC,Scan,Handheld,,
SHP0000262,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-06-27 07:37:56,DEN_DC,Scan,EDI,,
SHP0000262,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-06-27 08:40:38,DEN_DC,Scan,Handheld,,
SHP0000262,7,DELIVERED,Shipment delivered to customer.,2025-06-27 12:36:54,DEN_DC,Delivery,Handheld,,
SHP0000263,1,CREATED,Shipment created in transportation management system.,2025-01-01 19:48:00,OMA_HUB,System,TMS,,
SHP0000263,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-01-01 20:48:00,OMA_HUB,System,TMS,,
SHP0000263,3,PICKED_UP,Shipment picked up from origin facility.,2025-01-02 02:25:38,OMA_HUB,Scan,Handheld,,
SHP0000263,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-01-02 03:52:11,OMA_HUB,Scan,Handheld,,
SHP0000263,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-01-02 01:53:15,CHI_DC,Scan,EDI,,
SHP0000263,6,EQUIPMENT_BREAKDOWN,Equipment failure caused an operational delay.,2025-01-02 01:12:36,OMA_HUB,Alert,CarrierEDI,MECH,Equipment failure caused an operational delay.
SHP0000263,7,RESOLVED,Shipment exception resolved.,2025-01-03 01:02:14,CHI_DC,System,TMS,MECH,Exception closed and shipment released.
SHP0000263,8,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-01-02 21:19:40,CHI_DC,Scan,Handheld,,
SHP0000263,9,DELIVERED,Shipment delivered to customer.,2025-01-03 01:34:16,CHI_DC,Delivery,Handheld,,
SHP0000264,1,CREATED,Shipment created in transportation management system.,2025-08-13 12:37:00,DAL_DC,System,TMS,,
SHP0000264,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-08-13 13:37:00,DAL_DC,System,TMS,,
SHP0000264,3,PICKED_UP,Shipment picked up from origin facility.,2025-08-13 16:05:12,DAL_DC,Scan,Handheld,,
SHP0000264,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-08-13 17:52:38,DAL_DC,Scan,Handheld,,
SHP0000264,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-08-13 14:22:25,HOU_HUB,Scan,EDI,,
SHP0000264,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-08-13 16:46:00,HOU_HUB,Scan,Handheld,,
SHP0000264,7,DELIVERED,Shipment delivered to customer.,2025-08-13 21:58:40,HOU_HUB,Delivery,Handheld,,
SHP0000265,1,CREATED,Shipment created in transportation management system.,2025-09-22 04:50:00,PHX_DC,System,TMS,,
SHP0000265,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-09-22 05:50:00,PHX_DC,System,TMS,,
SHP0000265,3,PICKED_UP,Shipment picked up from origin facility.,2025-09-22 20:00:45,PHX_DC,Scan,Handheld,,
SHP0000265,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-09-22 22:06:06,PHX_DC,Scan,Handheld,,
SHP0000265,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-09-22 17:08:24,LAS_HUB,Scan,EDI,,
SHP0000265,6,ADDRESS_REVIEW,Delivery address requires correction or validation.,2025-09-22 12:41:35,LAS_HUB,Alert,CarrierEDI,ADDR,Delivery address requires correction or validation.
SHP0000265,7,EXCEPTION_OPEN,Shipment is pending exception resolution.,2025-10-01 00:00:00,LAS_HUB,System,TMS,ADDR,Customer-impacting exception remains open.
SHP0000266,1,CREATED,Shipment created in transportation management system.,2025-02-01 20:27:00,OMA_HUB,System,TMS,,
SHP0000266,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-02-01 21:27:00,OMA_HUB,System,TMS,,
SHP0000266,3,PICKED_UP,Shipment picked up from origin facility.,2025-02-02 07:48:28,OMA_HUB,Scan,Handheld,,
SHP0000266,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-02-02 10:21:20,OMA_HUB,Scan,Handheld,,
SHP0000266,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-02-02 09:42:30,CHI_DC,Scan,EDI,,
SHP0000266,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-02-02 15:51:01,CHI_DC,Scan,Handheld,,
SHP0000266,7,DELIVERED,Shipment delivered to customer.,2025-02-02 17:58:00,CHI_DC,Delivery,Handheld,,
SHP0000267,1,CREATED,Shipment created in transportation management system.,2025-07-10 21:31:00,DAL_DC,System,TMS,,
SHP0000267,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-07-10 22:31:00,DAL_DC,System,TMS,,
SHP0000267,3,PICKED_UP,Shipment picked up from origin facility.,2025-07-11 04:43:59,DAL_DC,Scan,Handheld,,
SHP0000267,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-07-11 05:29:32,DAL_DC,Scan,Handheld,,
SHP0000267,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-07-11 02:33:20,HOU_HUB,Scan,EDI,,
SHP0000267,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-07-11 08:28:09,HOU_HUB,Scan,Handheld,,
SHP0000267,7,DELIVERED,Shipment delivered to customer.,2025-07-11 12:43:02,HOU_HUB,Delivery,Handheld,,
SHP0000268,1,CREATED,Shipment created in transportation management system.,2025-01-18 01:10:00,CHI_DC,System,TMS,,
SHP0000268,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-01-18 02:10:00,CHI_DC,System,TMS,,
SHP0000268,3,PICKED_UP,Shipment picked up from origin facility.,2025-01-18 07:57:41,CHI_DC,Scan,Handheld,,
SHP0000268,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-01-18 09:19:30,CHI_DC,Scan,Handheld,,
SHP0000268,5,MISSED_SCAN_ALERT,Expected scan was not captured on time.,2025-01-18 17:58:47,ATL_HUB,Alert,CarrierEDI,MSCN,Expected scan was not captured on time.
SHP0000268,6,RESOLVED,Shipment exception resolved.,2025-01-18 19:50:50,ATL_HUB,System,TMS,MSCN,Exception closed and shipment released.
SHP0000268,7,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-01-18 21:52:46,ATL_HUB,Scan,Handheld,,
